ID,Brand,Category,Model Name,Reference No.,Price (USD),Currency,Release Date,Gender,Case Material,Case Diameter (mm),Case Thickness (mm),Dial Color,Strap Material,Strap Color,Water Resistance (m),Crystal Type,Movement Type,Power Reserve (hours),Complications,Availability,Warranty (Years),Country of Origin
1,Seiko,Sports,Prospex,SE96069,2658.69,USD,19/08/2022,Unisex,Stainless Steel,32,14.7,Gold,Leather,Blue,30,Mineral,Quartz,40,World Time,Pre-Order,4,Japan
2,Citizen,Eco-Drive,Promaster,CI19632,5219.34,USD,17/05/2021,Women's,Brass,34.9,13.6,Black,Silicone,Blue,30,Gorilla Glass,Solar Powered,0,GMT,Out of Stock,3,Japan
3,Omega,Dress,Speedmaster,OM90435,13084.44,USD,11/10/2023,Unisex,Bronze,37.8,13.2,Black,Mesh Steel,Black,30,Mineral,Automatic,60,None,In Stock,2,Switzerland
4,Omega,Dress,Speedmaster,OM14756,4401.79,USD,28/12/2023,Women's,Bioceramic,43.9,9,Silver,Rubber,Red,30,Gorilla Glass,Automatic,70,GMT,Pre-Order,2,Switzerland
5,Seiko,Sports,Prospex,SE37679,3163.87,USD,20/11/2023,Women's,Bioceramic,36.6,8.6,Red,Rubber,Black,300,Mineral,Quartz,60,Moonphase,Limited Stock,1,Japan
6,Fossil,Fashion,Gen 6,FO56219,13035.57,USD,28/10/2020,Women's,Stainless Steel,44.6,13.3,Red,Leather,Silver,30,Plastic,Smart,0,Chronograph,Pre-Order,5,USA
7,Fossil,Fashion,Gen 6,FO70599,8103.27,USD,04/08/2021,Women's,Aluminum,45,8.1,Gray,Silicone,Green,50,Mineral,Smart,40,World Time,In Stock,1,USA
8,Tissot,Classic,Le Locle,TI10158,11976.17,USD,23/10/2021,Unisex,Brass,37.1,8.1,Green,Canvas,Brown,100,Gorilla Glass,Automatic,70,GMT,In Stock,3,Switzerland
9,Swatch,Fashion,MoonSwatch,SW16030,11003.69,USD,08/03/2023,Men's,Aluminum,38.2,9.5,Gold,Mesh Steel,Brown,300,Mineral,Quartz,60,Chronograph,Limited Stock,1,Switzerland
10,Hamilton,Military,Khaki Field,HA87204,139.39,USD,22/05/2022,Women's,Resin,42.2,7.1,Black,Silicone,Green,100,Hardlex,Automatic,40,Moonphase,Out of Stock,5,USA
11,Timex,Casual,Weekender,TI35269,445.24,USD,14/02/2021,Women's,Aluminum,43.3,9.5,Red,Leather,Silver,300,Sapphire,Quartz,40,None,Out of Stock,2,USA
12,Hamilton,Military,Khaki Field,HA13015,14682.7,USD,31/08/2021,Unisex,Aluminum,44.9,9.3,Gold,Mesh Steel,Silver,300,Mineral,Automatic,40,World Time,Pre-Order,3,USA
13,TAG Heuer,Sports,Carrera,TA35554,9624.21,USD,22/02/2025,Unisex,Titanium,41.9,7,Red,Silicone,Black,50,Gorilla Glass,Automatic,40,Moonphase,Limited Stock,2,Switzerland
14,Hamilton,Military,Khaki Field,HA45343,92.6,USD,05/07/2025,Men's,Brass,36.7,7.4,Red,Mesh Steel,Green,100,Plastic,Automatic,40,GMT,In Stock,1,USA
15,Longines,Dress,Master Collection,LO79518,10565.5,USD,01/09/2022,Unisex,Bioceramic,38.7,11.4,Blue,Leather,Green,300,Mineral,Automatic,80,Moonphase,Out of Stock,3,Switzerland
16,Hublot,Luxury,Big Bang,HU87119,106.81,USD,18/09/2024,Unisex,Ceramic,44.8,14.1,Red,Silicone,Blue,50,Plastic,Automatic,40,GMT,Out of Stock,4,Switzerland
17,Seiko,Sports,Prospex,SE17695,2448.56,USD,19/09/2022,Women's,Bioceramic,35,10.9,Blue,Rubber,Brown,50,Hardlex,Quartz,60,World Time,In Stock,4,Japan
18,Orient,Classic,Bambino,OR55609,3927.42,USD,22/06/2024,Men's,Brass,41,13.8,Blue,Silicone,Brown,200,Hardlex,Automatic,70,Date,Out of Stock,4,Japan
19,TAG Heuer,Sports,Carrera,TA20895,3999.22,USD,24/07/2022,Men's,Brass,36.9,7.4,Green,Nylon,Black,100,Hardlex,Automatic,80,GMT,Pre-Order,5,Switzerland
